id,sex,age,age_cat,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_desc,two_year_recid,time_in_custody_in_days,time_in_jail_in_days,African-American_race,Asian_race,Caucasian_race,Hispanic_race,Native American_race,Other_race,Felony_c_charge_degree,Misdemeanor_c_charge_degree,High_score_text,Low_score_text,Medium_score_text,High_v_score_text,Low_v_score_text,Medium_v_score_text
1,1,69,Greater than 45,0,0,0,0,0.28505963547838464,0,7.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
3,1,34,25 - 45,0,0,0,0,0.5644384923514734,1,10.0,10.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
4,1,24,Less than 25,0,0,1,4,0.5917112870422038,1,0.0,1.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
5,1,23,Less than 25,0,1,0,1,0.36687432079403715,0,0.0,0.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
6,1,43,25 - 45,0,0,0,2,0.4517112099682474,0,0.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
7,1,44,25 - 45,0,0,0,0,0.3827224111679078,0,1.0,1.0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
8,1,41,25 - 45,0,0,0,14,0.5134258591836661,1,18.0,6.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
9,1,43,25 - 45,0,0,0,3,0.4517112099682474,0,12.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
10,0,39,25 - 45,0,0,0,0,0.3827224111679078,0,3.0,2.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
13,1,21,Less than 25,0,0,0,1,0.990609626395325,1,1.0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
14,1,27,25 - 45,0,0,0,0,0.6967244794621273,0,1.0,1.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
15,1,23,Less than 25,0,0,0,3,0.3827224111679078,1,4.0,4.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
16,0,37,25 - 45,0,0,0,0,0.3827224111679078,0,1.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
18,1,41,25 - 45,0,0,0,0,0.3816785218935147,0,1.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
19,0,47,Greater than 45,0,0,0,1,0.4517112099682474,1,169.0,14.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
20,1,31,25 - 45,0,0,0,7,0.5465082316130807,1,3.0,3.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
21,1,37,25 - 45,0,0,0,0,0.3827224111679078,0,0.0,0.0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
22,1,25,25 - 45,0,0,0,3,0.46892515692495623,0,62.0,1.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
23,1,31,25 - 45,0,0,0,6,0.5242066153601288,1,1.0,1.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
24,1,31,25 - 45,0,0,0,5,0.495424477033147,1,31.0,1.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
25,1,64,Greater than 45,0,0,0,13,0.4517112099682474,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
26,1,21,Less than 25,0,0,0,1,0.5296779176237041,1,1.0,3.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
27,1,27,25 - 45,0,0,0,0,0.4833625019137319,1,0.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
28,0,21,Less than 25,0,0,0,0,0.13788930669552638,0,1.0,1.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
30,1,24,Less than 25,0,0,0,1,0.19486193391720572,1,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
32,1,43,25 - 45,0,0,0,1,0.3971094204650169,0,1.0,1.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
33,1,32,25 - 45,0,0,0,0,0.3827224111679078,0,2.0,1.0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
37,1,27,25 - 45,0,0,0,8,0.5459708370453343,1,1.0,17.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
38,0,36,25 - 45,0,0,0,3,0.4517112099682474,0,1.0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
39,1,26,25 - 45,0,0,1,5,0.5084188990650611,1,8.0,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
40,1,33,25 - 45,0,0,0,0,0.5614790481002668,1,21.0,37.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
41,1,30,25 - 45,0,0,0,9,0.5644384923514734,1,1.0,44.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
42,1,32,25 - 45,0,0,0,4,0.752299540285346,1,2.0,1.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
45,1,55,Greater than 45,0,0,0,0,0.4517112099682474,0,2.0,2.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
50,1,49,Greater than 45,0,0,0,7,0.2865881713616546,1,1.0,3.0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
51,1,26,25 - 45,0,0,2,6,0.3643122051805198,0,12.0,12.0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
52,0,33,25 - 45,0,0,0,4,0.3827224111679078,1,11.0,11.0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
53,1,24,Less than 25,0,0,0,1,0.3827224111679078,1,3.0,1.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
54,1,34,25 - 45,2,1,3,21,0.49602641201385095,1,178.0,33.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
55,1,29,25 - 45,0,0,0,0,0.488868470039596,0,0.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
56,0,21,Less than 25,0,0,0,2,0.4517112099682474,0,1.0,79.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
57,1,51,Greater than 45,0,0,0,2,0.6312393583928138,0,1.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
59,1,29,25 - 45,0,0,0,2,0.5493738921402309,1,1.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
61,0,51,Greater than 45,0,0,0,7,0.5917112870422038,0,8.0,1.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
64,1,29,25 - 45,0,0,0,0,1.0005841947789091,1,28.0,0.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
66,1,25,25 - 45,0,0,0,9,0.3827224111679078,1,9.0,6.0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
67,1,35,25 - 45,1,0,4,13,0.5082946328948995,1,1.0,0.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
68,1,49,Greater than 45,0,0,0,0,0.20220753462903243,0,0.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
69,1,34,25 - 45,0,0,0,4,0.3873196249534863,1,51.0,51.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
